,"あ","Ah"
"嗚呼","ああ","like that"
"挨拶","あいさつ","to greet"
"間","あいだ","a space"
"合う","あう","to match"
"赤ちゃん","あかちゃん","infant"
"上る","あがる","to rise"
"赤ん坊","あかんぼう","baby"
"空く","あく","to open, to become empty"
,"アクセサリー","accessory"
"上げる","あげる","to give"
"浅い","あさい","shallow,superficial"
"味","あじ","flavour"
,"アジア","Asia"
"明日","あす","tomorrow"
"遊び","あそび","play"
,"あっ","Ah"
"集る","あつまる","to gather"
"集まる","あつまる","to gather"
"集める","あつめる","to collect something"
,"アナウンサー","announcer"
,"アフリカ","Africa"
,"アメリカ","America"
"謝る","あやまる","to apologize"
,"アルコール","alcohol"
,"アルバイト","part-time job"
"安心","あんしん","relief"
"安全","あんぜん","safety"
,"あんな","such"
"案内","あんない","to guide"
"以下","いか","less than"
"以外","いがい","with the exception of"
"医学","いがく","medical science"
"生きる","いきる","to live"
"意見","いけん","opinion"
"石","いし","stone"
"苛める","いじめる","to tease"
,"いじめる","to tease"
"以上","いじょう","more than,this is all"
"急ぐ","いそぐ","to hurry"
"致す","いたす","(humble) to do"
"頂く","いただく","(humble) to receive"
,"いただく","(humble) to receive"
"一度","いちど","once"
"一生懸命","いっしょうけんめい","with utmost effort"
,"いっぱい","full"
"糸","いと","thread"
"以内","いない","within"
"田舎","いなか","countryside"
"祈る","いのる","to pray"
,"いらっしゃる","(respectful) to be,to come or to go"
"植える","うえる","to plant,to grow"
"伺う","うかがう","to visit"
"受付","うけつけ","receipt"
"受ける","うける","to take a lesson or test"
"動く","うごく","to move"
"嘘","うそ","a lie"
,"ウソ","a lie"
"内","うち","within"
,"うち","within"
"打つ","うつ","to hit"
"美しい","うつくしい","beautiful"
"写す","うつす","to copy or photograph"
"移る","うつる","to move house or transfer"
"腕","うで","arm"
"美味い","うまい","delicious"
"甘い","うまい","delicious"
"旨い","うまい","delicious"
"巧い","うまい","delicious"
"上手い","うまい","delicious"
"裏","うら","reverse side"
"売り場","うりば","place where things are sold"
"嬉しい","うれしい","glad"
,"うれしい","glad"
,"うん","(informal) yes"
"運転","うんてん","to drive"
"運転手","うんてんしゅ","driver"
"運動","うんどう","to exercise"
,"エスカレーター","escalator"
"枝","えだ","branch, twig"
"選ぶ","えらぶ","to choose"
"遠慮","えんりょ","to be reserved, to be restrained"
,"オートバイ","motorcycle"
"お出でになる","おいでになる","(respectful) to be"
,"おいでになる","(respectful) to be"
"お祝い","おいわい","congratulation"
"お陰","おかげ","owing to"
,"おかげ","owing to"
"可笑しい","おかしい","strange or funny"
,"おかしい","strange or funny"
"お金持ち","おかねもち","rich man"
"億","おく","one hundred million"
"屋上","おくじょう","rooftop"
"贈り物","おくりもの","gift"
"送る","おくる","to send"
"遅れる","おくれる","to be late"
"起す","おこす","to wake"
"行う","おこなう","to do"
"怒る","おこる","to get angry,to be angry"
"押し入れ","おしいれ","closet"
"お嬢さん","おじょうさん","young lady"
"お宅","おたく","(polite) your house"
"落る","おちる","to fall or drop"
"仰る","おっしゃる","(respectful) to say"
,"おっしゃる","(respectful) to say"
"夫","おっと","husband"
"お釣り","おつり","change from purchase, balance"
,"おつり","change from purchase, balance"
"音","おと","sound,note"
"落す","おとす","to drop"
"踊り","おどり","a dance"
"踊る","おどる","to dance"
"驚く","おどろく","to be surprised"
"お祭り","おまつり","festival"
"お見舞い","おみまい","calling on someone who is ill,enquiry"
"お土産","おみやげ","souvenir"
"思い出す","おもいだす","to remember"
"思う","おもう","to think,to feel"
"玩具","おもちゃ","toy"
,"おもちゃ","toy"
"表","おもて","the front"
"親","おや","parents"
"泳ぎ方","およぎかた","way of swimming"
"下りる","おりる","to get off"
"折る","おる","to break or to fold"
"お礼","おれい","expression of gratitude"
"折れる","おれる","to break or be folded"
"終わり","おわり","the end"
,"カーテン","curtain"
"海岸","かいがん","coast"
"会議","かいぎ","meeting"
"会議室","かいぎしつ","meeting room"
"会場","かいじょう","assembly hall or meeting place"
"会話","かいわ","conversation"
"帰り","かえり","return"
"変える","かえる","to change"
"科学","かがく","science"
"鏡","かがみ","mirror"
"掛ける","かける","to hang something"
"飾る","かざる","to decorate"
"火事","かじ","fire"
,"ガス","petrol"
,"ガソリン","petrol"
,"ガソリンスタンド","petrol station"
"堅い","かたい","hard"
"硬い","かたい","hard"
"固い","かたい","hard"
"形","かたち","shape"
"片付ける","かたづける","to tidy up"
"課長","かちょう","section manager"
"勝つ","かつ","to win"
"格好","かっこう","appearance"
"家内","かない","housewife"
"悲しい","かなしい","sad"
"必ず","かならず","certainly,necessarily"
"金持ち","かねもち","rich man"
"彼女","かのじょ","she,girlfriend"
"壁","かべ","wall"
"構う","かまう","to mind"
"髪","かみ","hair"
"噛む","かむ","to bite,to chew"
"通う","かよう","to commute"
,"ガラス","a glass pane"
"彼","かれ","he,boyfriend"
"彼ら","かれら","they"
"乾く","かわく","to get dry"
"代わり","かわり","substitute,alternate"
"変わる","かわる","to change"
"考える","かんがえる","to consider"
"関係","かんけい","relationship"
"看護婦","かんごふ","female nurse"
"簡単","かんたん","simple"
"気","き","spirit,mood"
"機会","きかい","opportunity"
"危険","きけん","danger"
"聞こえる","きこえる","to be heard"
